"* Required Fields","* Champs requis"
"Billing address is sent","Envoyer adresse de facturation à Datatrans"
"Bonuscard","Bonuscard"
"Brand Color","Couleur Brand"
"Brand Name","Nom de marque"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","En configurant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin."
"CVC Code","Code de sécurité (CVC)"
"CVC: The user is asked for the CVC. (default)","CVC: L'utilisateur est demandé d'insérer son CVC (par défaut)"
"Cancel","Annuler"
"Cancel ID","Cancel ID"
"Cancel failed with an unknown error.","L'annulation a échouée avec une erreur inconnue"
"Cancel pending orders when out of stock","Annuler les commandes en attentes si l'article n'est pas en stock"
"Cancel status","Statut d'annulation"
"Canceled DatatransCw","DatatransCw Annulé"
"Canceling of this payment not possible!","L'annulation de ce paiement n'est pas possible!"
"Cancelled Status","Statut Annulé"
"Cancelled by the customer.","Annulé par le client."
"Cannot update item quantity.","Vous ne pouvez pas mettre à jour la quantité de l'article."
"Capture Amount","Montant de comptabilisation"
"Capture ID","ID de comptabilisation"
"Capture amount","Montant comptabilisé"
"Capture information","Information de comptabilisation"
"Capture status","Statut de combtabilisation"
"Capture: Don't Close","Comptabilisation: Ne pas fermer"
"Captured Amount","Montant comptabilisé"
"Captured Status","Statut de capture"
"Captures","Comptabilisations"
"Captures & Refunds","Captures et Remboursements"
"Capturing","Comptabiliser"
"Card Expiration","Date d'expiration de la carte"
"Card Expiry","Date d'expiration"
"Card Holder","Titulaire de la carte"
"Card Holder Name","Titulaire de la carte"
"Card Number","Numéro de la carte"
"Card member's name and billing address match, but billing postal code does not match.","Nom du titulaire de la carte et code postal de la facture correspondent, mais l'adresse de facturation ne correspond pas."
"Card member's name and billing postal code match, but billing address does not match.","Nom du titulaire de la carte et code postal de la facture correspondent, mais l'adresse de facturation ne correspond pas."
"Card member's name does not match, but billing postal code matches.","Le nom du membre de la carte ne correspond pas, mais le code postal de facturation est correct."
"Card member's name does not match, but street address matches.","La rue correspond, mais le nom du titulaire de la carte ne correspond pas."
"Card member's name does not match. Street address and postal code match.","Rue et code postale correspondent. Nom du titulaire de la carte ne correspond pas."
"Card member's name matches but billing address and billing postal code do not match.","Le nom du titulaire de la carte correspond, mais le code postal de l'adresse de facturation et l'adresse de facturation ne correspondent pas."
"Card member's name, billing address, and billing postal code match.","Nom du titulaire de la carte, adresse de facturation et code postale correspondent."
"Card member's name, billing address, and postal code match.","Nom du titulaire de la carte, adresse de facturation et code postale correspondent."
"Card number must not be empty.","Veuillez insérer le numero de carte."
"Carrier Title","Titre du transporteur"
"Check out faster","Commander plus vite"
"Check to activate the external checkout.","Marquer cette option pour activer la vérification externe."
"Checkout","Checkout"
"Checkout as Guest","Checkout en tant qu'invité"
"Checkout as a Guest or Register","Passer à la caisse en tant que client ou créer un compte"
"Checkout as a new customer","Commander en tant que nouveau client"
"Checkout using your account","Commander en utilisant votre compte"
"Checkout with MasterPass.","Payer avec MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation. Pour les paiements saisis, une facture est toujours créée."
"Company Commercial Number","Société Nombre de commerce"
"Company Registry Number","Société numéro de registre"
"Confirm Password","Confirmer le mot de passe"
"Continue","Continuer"
"Copy the URL Post that you find below (notification URL) into the Datatrans Backend (Section UPP Administration > UPP Data).","Copiez l'URL Post que vous trouvez ci-dessous (notification URL) dans le backend de Datatrans (sous UPP Administration > UPP Data.)."
"Could not convert object of type '!type' to string.","Impossible de convertir objet de type '!type' à string."
"Could not find a brand for the given card number.","Impossible de trouver une marque pour le numéro de carte donnée."
"Could not find an adapter for the authorization method !methodName.","Pas d'adapteur trouvé pour la méthode d'autorisation !methodName."
"Could not find an adapter for the authoriztion method !methodName.","Impossible de trouver un adaptateur pour la mode d'autorisation !methodName."
"Could not find pressed button.","Impossible de trouver le bouton pressé."
"Could not find template file at default location '!location'.","Impossible de trouver le fichier template dans le répertoire par défaut '!location'."
"Could not find the payment method !paymentMethodName.","Impossible de trouver le mode de paiement !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossible de charger le template à partir de l'URL !url. Raison: !reason"
"Create Account","Créer un compte"
"Create New Order - Payment","Créer nouvelle commande - Paiement"
"Create a recurring payment, with an existing alias is not supported","Création d'un paiement récurrent avec un alias existant n'est pas possible."
"Creating an account has many benefits:","La création d'un compte a de nombreux avantages:"
"Creation Date","Date de création"
"Credit Card Brands","Types de cartes de crédit"
"Credit Card Customer Country","Pays émetteur de la carte"
"Credit Memo History","Histoire de note de crédit"
"Credit Memo Totals","Totaux note de crédit"
"Credit memo's total must be positive.","Total de note de crédit doit être positive."
"CreditPass Purchase Type","Mail Order / Telephone Order (MoTo)"
"Currency","Monnaie"
"Currency !currency not supported, must be CHF","La devise !currency n'est pas acceptée, la devise doit être CHF."
"Current Configuration Scope:","Champ d'application actuel de la configuration:"
"Customer Account","Compte client"
"Customer Address","Adresse du client"
"Customer Alias Management","Gestion des Alias du client"
"Customer successfully returned from DatatransCw","Le client est retourné de DatatransCw avec succès"
"Customer successfully returned from Datatrans","Client retourné avec succès de la page de paiement de DatatransCw."
"Customer sucessfully returned from the DatatransCw payment page.","Client retourné avec succès de la page de paiement de DatatransCw."
"Customers","Clients"
"Customweb","Customweb"
"Dankort","Dankort"
"Date","Date"
"Date of Birth","Date de naissance"
"Day","Jour"
"Deactivate","Désactiver"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Cher client, nous avons reçu votre information de facturation et de livraison. Pour terminer votre commande veuillez créer un compte ci-dessous ou continuez en tant qu'invité."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Cher client, il nous semble que votre paiement a été un succès, mais nous sommes toujours en attente de la confirmation. Vous pouvez attendre sur cette page et vous serez redirigé après que nous ayons reçu la confirmation. Vous pouvez aussi fermer cette fenêtre et nous vous enverrons un e-mail de confirmation de la commande."
"Decides if the pay button should have the same color as the brandColor. Possible Values: &quot;true&quot; or &quot;false&quot;. If set to false the hex color #01669F will be used as a default.","Décide si le bouton 'Payer' doit avoir la même couleur que le Brand. Valeurs possibles: &quot;true&quot; oder &quot;false&quot;. Si aucune valeur a été donnée la couleur hexadécimale #01669F sera utilisée par défaut."
"Decides whether the logo shall be styled with a border around it, if the value is true the default background color is chosen, else the provided string is used as color value. Possible values: colors in hexadecimal code (#FFFFFF) or &quot;true&quot; or &quot;false&quot;","Décidez si le logo doit être stylé avec une bordure autour de lui. Si la valeur est 'true' la couleur de fond par défaut sera utilisée, sinon la couleur définie sera utilisée comme couleur. Valeurs possibles: couleurs avec un code hexadécimal (#FFFFFF) ou &quot;true&quot; or &quot;false&quot;"
"Default Account","Compte par défaut"
"Default Config","Configuration par défaut"
"Default Values","Valeurs par défaut"
"Deferred","Differé"
"Deferred (authorization)","Différé (autorisation)"
"Deferred capturing","Comptabilisation retardée"
"Deferred settlement","Génération retardée"
"Define a maximal order total for this checkout to be available.","Définir un total de commande maximale pour que ce checkout soit disponible."
"Define a minimal order total for this checkout to be available.","Définir un total de commande minimale pour que ce checkout soit disponible."
"Delayed","Differé"
"Delete","Effacer"
"Delivery address","Delivery address"
"Delivery address is sent","Envoyer l'adresse de livraison"
"Description","Description"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Sofort Banking"
"Direct capture after order","Directement après la commande"
"Directly after order","Directement après la commande"
"Directly after order (sale)","Directement après la commande"
"Disabled","Désactivé"
"Discount","Rabais"
"Discount Amount","Montant du rabais"
"Do not mark them","Ne pas marquer"
"Don't change order status","Ne pas modifier le statut de la commande"
"During authorization","Pendant l'autorisation"
"During the authorization","Pendant l'autorisation"
"ESR Data","BVR Data"
"EasyPay Title","EasyPay Titre"
"Edit","Modifier"
"Edit Invoice %s","Éditer la facture %s"
"Email Address","E-mail"
"Empty version number field name","Nom de champ de numéro de version vide"
"Enable or disable logging.","Activer ou désactiver le logging."
"Enable the payment method","Activer le mode de paiement"
"Enabled","Activé"
"Enter the Live MerchantID.","Veuillez insérer le Live Merchant ID."
"Enter the date on which your card expires.","Veuillez sélectionner la date d’expiration"
"Error during Update: !msg","Erreur lors de la mise à jour: !msg"
"Error with the length of the validation date.","Erreur avec la longueur de la date de validation."
"ErrorCode: !code","Code d'erreur:! Code"
"Excl. Tax","Excl. impôt"
"External Checkout","Vérification externe"
"External Checkout: Guest Checkout","Validation externe : Guest Checkout"
"Failed","Raté"
"Failed payment authorization.","L'autorisation a été refusée."
"Female","Femelle"
"Figure !number:","Image !number:"
"Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Forgot your password?","Mot de passe oublié?"
"Gender","Sexe"
"German ELV transactions can be processed with an integrated credit and address check. The merchant has to agree with CreditPass (Telego) the test rules. The test rule is referred to by a 'Purchase Type'. If you don't want to use this feature, you can leave this field empty.","Les transactions ELV allemandes peuvent être traitées avec une vérification de crédit et d'adresse intégrée. Le vendeur doit être d'accord avec les règles de test CreditPass (Telego). La règle d'essai est désigné par 'Purchase Type'. Si vous ne souhaitez pas utiliser cette fonctionnalité, vous pouvez laisser ce champ vide."
"Get Update","Mettre à jour"
"Header Color","Couleur de l'en-tête"
"Here you can define a Shop ID. This is only necessary if you wish to operate several shops with one Datatrans account. In order to use this module, an additional module is required.","Ici vous pouvez définir une Shop ID. Cela ne est nécessaire si vous souhaitez utiliser plusieures boutiques en ligne avec une seule PSP ID. Pour utiliser cette option, un module supplémentaire est nécessaire."
"Here you can insert a transaction prefix. The prefix allows you to change the transaction number that is transmitted to Datatrans. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Datatrans. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Datatrans. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead.","Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead."
"Here you can specify the text, which is shown to the customer on the Easypay website. If the text contains the tag {id}, it will be replaced with the order number.","Vous pouvez écrire ici le text à montrer aux clients sur le site EasyPay. Si le text contient le tag {id}, ce dernier va être remplacé par le numero de l'ordre."
"Hide","Masquer"
"IBAN","IBAN"
"IBAN number","Número du compte bancaire"
"IFrame Height","Hauteur de l'iFrame"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","S'il y a qu'une seule pièce de l'article en stock et le paiement du client échoue ou est annulé, cette article ne sera pas disponible jusqu'à que la commande soit annulée (option 'timeout' en bas). Activez cette option si vous voulez que l'article ne soit pas réservé. La commande sera donc annulée immédiatement."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Si un produit est en stock qu'une seule fois et le paiement de la commande du client ce produit échoue ou est abandonnée, il ne sera pas disponible jusqu'à ce que la commande est annulée (voir option de temporisation ci-dessous). Activez ce paramètre pour annuler les commandes en attente du client quand il revient à la page de panier et un produit ne sont plus disponible. Attention: Si vous activez cette option, il ya une chance que les paiements sont faits avec la commande correspondante étant déjà annulé."
"If it is not applicable leave the field empty.","Si ce n'est pas applicable veuillez laisser le champ vide."
"If no liability shift is given for a transaction, should the transaction be marked as uncertain?","Est-ce que le paiement est effectué sans transfert de responsabilité ou est-ce que vous voulez que la transaction soit marquée incertaine?"
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera annulée avec succès."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera capturé avec succès."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si l'état est 'En attente', il est difficile de savoir si l'opération sera remboursé avec succès."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Si le mode de test est sélectionné, le compte test sera utilisé. Sinon, le compte configuré sera utilisé."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Si vous avez des problèmes avec le module, n'hésitez pas à nous contacter. Consultez notre <a href='https://www.sellxed.com/en/support' target='_blank'>page d'assistance</a> pour plus d'informations."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Si vous souhaitez utiliser les paiements récurrents, vous avez besoin de notre module de Magento 'Customweb Subscription'. Pour plus d'informations, veuillez aller sur <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Iframe Theme Name","Nom du thème iFrame"
"Image Brand Selection","Image Brand Selection"
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your live account.","Si vous utilisez le niveau de sécurité 2, vous pouvez activer un signe distinct (sign2) pour les requêtes de Datatrans à votre serveur. Vous pouvez insérer un deuxième signe pour votre compte live ici."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account.","Si vous utilisez le niveau de sécurité 2, vous pouvez activer un signe distinct (sign2) pour les requêtes de Datatrans à votre serveur. Vous pouvez insérer un deuxième signe pour votre compte test ici."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Si vous utilisez le niveau de sécurité 2, vous pouvez activer un signe distinct (sign2) pour les requêtes de Datatrans à votre serveur. Vous pouvez insérer un deuxième signe pour votre compte de test ici. Cette option est utilisée uniquement pour les commandes par téléphone et e-mail (Moto) et pour les paiements récurrents."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) payments.","Dans le cas où vous utilisez la sécurité 2, vous pouvez activer un signe distinct (sign2) pour la demande effectuée par Datatrans à votre serveur. Dans ce champ, vous pouvez fournir ce deuxième signe pour votre compte de test. Ce paramètre est utilisé uniquement pour les commandes MoTo."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for recurring payments.","Dans le cas où vous utilisez la sécurité 2, vous pouvez activer un signe distinct (sign2) pour la demande effectuée par Datatrans à votre serveur. Dans ce champ, vous pouvez fournir ce deuxième signe pour votre compte de test. Ce paramètre est utilisé uniquement pour les paiements récurrents."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account.","Si vous utilisez le niveau de sécurité 1 ou 2, vous devez insérer un signe. Cela peut être trouvé dans le backend de Datatrans de votre compte live."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Dans le cas où vous utilisez le niveau de sécurité 1 ou 2, vous devez utiliser une signature distincte. La signature peut être trouvée chez Datatrans dans votre compte de production. Ce paramètre est utilisé uniquement pour les commande MoTo."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) payments.","Dans le cas où vous utilisez le niveau de sécurité 1 ou 2, vous devez utiliser une signature distincte. La signature peut être trouvée chez Datatrans dans votre compte de production. Ce paramètre est utilisé uniquement pour les commande MoTo."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for recurring payments.","Dans le cas où vous utilisez le niveau de sécurité 1 ou 2, vous devez utiliser une signature distincte. La signature peut être trouvée chez Datatrans dans votre compte de production. Ce paramètre est utilisé uniquement pour les paiements récurrents."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account.","Si vous utilisez le niveau de sécurité 1 ou 2, vous devez entrer un signe. Cela peut être trouvé dans le backend de Datatrans de votre compte test."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Dans le cas où vous utilisez le niveau de sécurité 1 ou 2, vous devez utiliser une signature distincte. La signature peut être trouvée chez Datatrans dans votre compte de production. Ce paramètre est utilisé uniquement pour les commande MoTo."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) payments.","Dans le cas où vous utilisez le niveau de sécurité 1 ou 2, vous devez utiliser une signature distincte. La signature peut être trouvée chez Datatrans dans votre compte de production. Ce paramètre est utilisé uniquement pour les commande MoTo."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for recurring payments.","Dans le cas où vous utilisez le niveau de sécurité 1 ou 2, vous devez utiliser une signature distincte. La signature peut être trouvée chez Datatrans dans votre compte de test. Ce paramètre est utilisé uniquement pour les paiements récurrents."
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Dans certains cas, il peut prendre quelques secondes jusqu'à ce que la transaction soit autorisée avec succès. Lorsque cette option est activée, la boutique attendra la notification quelques secondes."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Dans certains cas, l'opération nécessite quelques secondes jusqu'à ce qu'elle est autorisée avec succès. Lorsque cette option est activée l'utilisateur est en attente jusqu'à ce que celle-ci atteigne l'état final. Si ce n'est pas le cas en 30 secondes, un message s'affiche pour le client, qui explique la situation."
"Inactive","Inactif"
"Incl. Tax","Incl. TVA"
"Information","Information"
"Inline Theme Name","Nom du thème Inline"
"Invalid login or password.","Nom d'utilisateur inexistant ou mauvais mot de passe."
"Invoice Items","Eléments de la facture"
"Invoice On Delivery","Invoice On Delivery"
"Invoice Settlement","Le règlement des factures"
"Invoice Totals","Totaux facture"
"Invoice settlement","Génération de la facture"
"Invoice was created successfully","La facture a été créée avec succès"
"Invoices","Factures"
"Issue Number","Numéro"
"It is not possible to checkout in your country.","Paiements de ce pays ne seront pas acceptés."
"Item","Article"
"Items","Articles"
"Items Refunded","Articles Remboursé"
"JCB","JCB"
"Learn More","Découvrir plus"
"Level 0: No Signatures","Level 0: Pas de signatures"
"Level 1: Basic Signatures","Level 1: Signatures de base"
"Level 2: Full Signatures (HMAC-MD5)","Level 2: Signatures complètes (HMAC-MD5)"
"Level 2: Full Signatures (HMAC-SHA-256)","Level 2: Full Signatures (HMAC-SHA-256)"
"Liability Shift Behavior","Comportement du transfert de responsabilité"
"Live Environment","Environnement Live"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live identifiant (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Mot de passe live"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Inscription"
"Login and password are required.","Login et mot de passe sont requis."
"Logo Border Color","Couleur de la bordure du logo"
"Logo Source","URL du logo"
"Logo Style","Style du logo"
"Maestro International","Maestro International"
"Mail Order / Telephone Order (MoTo)","Ordre par e-mail/téléphone (MoTo)"
"Mail order/telephone order authorization","Authentification par e-mail / téléphone"
"Male","Mâle"
"Manage Stores","Gérer Magasins"
"Manage Datatrans Aliases","Gérer les Alias Datatrans"
"Mark transactions without liability shift as uncertain","Marquer les transactions sans transfert de responsabilité incertaines"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Confirmation de la commande"
"Maximum Order Total","Montant de commande maximal"
"Message","Message"
"Method Title","Titre de la méthode"
"Minimum Order Total","Montant de commande minimal"
"Mobile Device Detection","Détéction d'appareils mobiles"
"Mobile Phone","Portable"
"Month","Mois"
"My Datatrans Aliases","Mes Alias Datatrans"
"New Order","Nouvelle commande"
"New Order Status","Nouvel statut de commande"
"New card","Nouvelle carte"
"Next Update Execution Date","Prochaine mise à jour"
"No","Non"
"No Items","Pas d'objet"
"No additional payment information available.","Aucune information de paiement supplémentaire est disponible."
"No address is sent","Ne pas envoyer l'adresse"
"No authorization method found for payment method !method.","Aucun mode d'autorisation trouvé pour le mode de paiement !method."
"No button returned.","Pas de bouton retourné."
"No refund possible.","Remboursement n'est pas possible"
"No shipping method needed.","Aucun mode de livraison nécessaire."
"No, use the dropdown.","Utiliser le menu déroulant"
"Non-U.S. issuing bank does not support AVS.","Banque émettrice non-US ne supporte pas l'AVS."
"Notification URL","URL de notification"
"ORG ID","ORG ID"
"ORG ID used for device fingerprint calls. Is supplied by Byjuno. If this is set but the solvency check is set to anything other than 'during the authorization' this will not be used.","ORG ID utilisé pour les empreintes digitales de l'appareil. C'est fourni par Byjuno."
"One Click Checkout (Alias Manager)","One Click Checkout (Alias Manager)"
"Only an authorized transaction can be marked as finally declined.","Seulement une transaction autorisée peut être marquée comme finalement déclinée."
"Only an uncertain transaction can be marked as finally declined.","Seulement une transaction incertaine peut être marquée comme déclinée."
"Only authorized transaction can be cancelled.","Seulement les transactions autorisées peuvent être annulées."
"Only authorized transaction can be captured.","Seulement les transactions autorisées peuvent être comptabilisées."
"Only authorized transaction can be refunded.","Seulement les transactions autorisées peuvent être remboursées"
"Only captured transaction can be refunded.","Seulement les transaction comptabilisées peuvent être remboursées."
"Only on captured transaction the flag customer refusing to pay can be set.","Il est seulement possible de définir un indicateur pour les clients qui n'ont pas payé sur les transactions capturées."
"Operation Mode","Mode de fonctionnement"
"Order #","Numéro de commande"
"Order Grand Total","Total de l'ordre"
"Order Information","Informations sur la commande"
"Order Prefix","Préfixe pour la commande"
"Order Review","Revue de la commande"
"Order Summary","Résumé de la commande"
"Order Total","Total de la commande"
"Order cancelled, because the customer was too long in the payment process of Datatrans.","la commande a été annulée, parce que le client était trop long dans le processus de paiement de Datatrans"
"Order was placed using %s","Commande a été passée à l'aide de %s"
"Orders","Commandes"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Les commandes où les paiements sont suspendu plus longtemps que le timeout spécifié en minutes seront anullées automatiquement."
"Paid Amount","Montant payé"
