"Adjustment Fee","Adjustment Fee"
"After payment selection","Na het selecteren van de betaalmethode"
"After selecting the payment method","After selecting the payment method"
"Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Alias","Alias"
"Alias For Display","Alias ​​voor Beeldscherm"
"Alias Manager Account","Alias Manager Account"
"All Customers","All Customers"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Bedrag"
"Amount Incl. Tax","Amount Incl. Tax"
"An SVG image (scalability) provided by the merchant. The image needs to be uploaded by using the Datatrans Web Administration Tool.","An SVG image (scalability) provided by the merchant. The image needs to be uploaded by using the Datatrans Web Administration Tool."
"An error ocurred.","An error ocurred."
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Author","Author"
"Authorization Amount","Autorisatie bedrag"
"Authorization Failed","Autorisatie mislukt"
"Authorization Method","Autorisatie Methode"
"Authorization Number","Nummer van de autorisatie"
"Authorization Status","Status van de autorisatie"
"Authorization is uncertain.","Autorisatie is onzeker"
"Authorized Status","Authorized Status"
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Location","Bank Locatie"
"Bank Name","Bank Naam"
"Bank account number","Bankrekeningnummer"
"Bank code number","Bankcode"
"Bank does not support AVS.","Bank biedt geen ondersteuning voor AVS"
"Before payment selection","Vóór het selecteren van de betaalmethode"
"Before showing the payment method","Before showing the payment method"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Billing address","Factuuradres"
"Billing address is sent","Stuur het factuuradres"
"Bonuscard","Bonuscard"
"Brand Color","Brand Color"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"CVC Code","CVC Code"
"CVC: The user is asked for the CVC. (default)","CVC: De gebruiker wordt gevraagd om de CVC (standaard)."
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel failed with an unknown error.","Annulering is mislukt met een onbekende fout."
"Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Cancel status","Cancel status"
"Canceled DatatransCw","Canceled DatatransCw"
"Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Cancelled Status","Cancelled Status"
"Cancelled by the customer.","Geannuleerd door klant"
"Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Capture bedrag"
"Capture information","Boekingsinformatie"
"Capture status","Capture status"
"Capture: Don't Close","Capture: Don't Close"
"Captured Amount","Opgenomen bedrag"
"Captured Status","Captured Status"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Capturing"
"Card Expiration","Kaart vervaldatum"
"Card Expiry","Card Vervaldatum"
"Card Holder","Kaarthouder"
"Card Holder Name","Kaarthouder"
"Card Number","Kaartnummer"
"Card member's name and billing address match, but billing postal code does not match.","Naam adres en kaarthouder juist zijn. Postcode is niet correct."
"Card member's name and billing postal code match, but billing address does not match.","Naam en postcode kaarthouder juist zijn. Adres niet juist is."
"Card member's name does not match, but billing postal code matches.","Postcode correct is. Naam van de kaarthouder is niet correct."
"Card member's name does not match, but street address matches.","Adres correct. Naam van de kaarthouder komt niet overeen."
"Card member's name does not match. Street address and postal code match.","Adres en postcode correct zijn. Naam van de kaarthouder is niet correct."
"Card member's name matches but billing address and billing postal code do not match.","Naam van de kaarthouder is juist. Adres en postcode zijn niet correct."
"Card member's name, billing address, and billing postal code match.","Naam adres, postcode en naam van de kaarthouder juist zijn."
"Card member's name, billing address, and postal code match.","Naam, adres en postcode kaarthouder juist zijn"
"Card number must not be empty.","Card number must not be empty."
"Carrier Title","Carrier Title"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout using your account","Checkout using your account"
"Checkout with MasterPass.","Checkout with MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecteer 'Creatie na de bestelling' als u wilt dat een factuur wordt gecreëerd. De status van de bestelling is gebaseerd op de boeken van de status. Voor vastgelegde betalingen wordt altijd een factuur aangemaakt."
"Company Commercial Number","Company Commerciële Nummer"
"Company Registry Number","Company Registry Number"
"Confirm Password","Confirm Password"
"Continue","Voortzetten"
"Copy the URL Post that you find below (notification URL) into the Datatrans Backend (Section UPP Administration > UPP Data).","Copy the URL Post that you find below (notification URL) into the Datatrans Backend (Section UPP Administration > UPP Data)."
"Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Could not find an adapter for the authorization method !methodName.","Could not find an adapter for the authorization method !methodName."
"Could not find an adapter for the authoriztion method !methodName.","Kan een adapter voor de methode toestemming niet vinden !methodName."
"Could not find pressed button.","Kon ingedrukte knop niet vinden."
"Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Card Customer Country","Land van de klant"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Did you mean: Credit memos total must be positive.Totale creditnota's moet positief zijn."
"CreditPass Purchase Type","CreditPass Purchase Type"
"Currency","Valuta"
"Currency !currency not supported, must be CHF","Currency !currency not supported, must be CHF"
"Current Configuration Scope:","Huidige omvang van de configuratie:"
"Customer Account","Customer Account"
"Customer Address","Adres van de klant"
"Customer Alias Management","Customer Alias Management"
"Customer successfully returned from DatatransCw","De cliënt heeft met succes teruggekeerd van DatatransCw."
"Customer successfully returned from Datatrans","Klant met succes terug uit Datatrans"
"Customer sucessfully returned from the DatatransCw payment page.","Customer sucessfully returned from the DatatransCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"Dankort","Dankort"
"Date","Datum"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Decides if the pay button should have the same color as the brandColor. Possible Values: &quot;true&quot; or &quot;false&quot;. If set to false the hex color #01669F will be used as a default.","Decides if the pay button should have the same color as the brandColor. Possible Values: &quot;true&quot; or &quot;false&quot;. If set to false the hex color #01669F will be used as a default."
"Decides whether the logo shall be styled with a border around it, if the value is true the default background color is chosen, else the provided string is used as color value. Possible values: colors in hexadecimal code (#FFFFFF) or &quot;true&quot; or &quot;false&quot;","Decides whether the logo shall be styled with a border around it, if the value is true the default background color is chosen, else the provided string is used as color value. Possible values: colors in hexadecimal code (#FFFFFF) or &quot;true&quot; or &quot;false&quot;"
"Default Account","Standaard Account"
"Default Config","Standaardconfiguratie"
"Default Values","Default Values"
"Deferred","Uitgestelde"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","De vertraagde boeking"
"Deferred settlement","Vertraagde creatie"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Delayed","Vertraagd"
"Delete","Verwijder"
"Delivery address","Afleveradres"
"Delivery address is sent","Stuur afleveradres"
"Description","Beschrijving"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Directe boeking"
"Directly after order","Direct na bestelling"
"Directly after order (sale)","Directly after order (sale)"
"Disabled","Invalide"
"Discount","Discount"
"Discount Amount","Bedrag van de korting"
"Do not mark them","Niet markeren"
"Don't change order status","Heeft orderstatus niet wijzigen"
"During authorization","Tijdens de autorisatie"
"During the authorization","During the authorization"
"ESR Data","ESR Data"
"EasyPay Title","EasyPay Title"
"Edit","Bewerken"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Betaalmethode inschakelen"
"Enabled","Ingeschakeld"
"Enter the Live MerchantID.","Enter the Live MerchantID."
"Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Error during Update: !msg","Error during Update: !msg"
"Error with the length of the validation date.","Error with the length of the validation date."
"ErrorCode: !code","ErrorCode: !code"
"Excl. Tax","Excl. belasting"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Mislukt"
"Failed payment authorization.","Mislukte betaling toestemming."
"Female","Vrouw"
"Figure !number:","Figure !number:"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Gender","Geslacht"
"German ELV transactions can be processed with an integrated credit and address check. The merchant has to agree with CreditPass (Telego) the test rules. The test rule is referred to by a 'Purchase Type'. If you don't want to use this feature, you can leave this field empty.","Duitse ELV transacties kunnen worden verwerkt met een geïntegreerde krediet en adres verificatie. De handelaar heeft om eens met CreditPass (Telego) testen regels. Door het definiëren van het 'Purchase Type' de test regel kan worden gespecificeerd. Als u niet wilt dat deze functie wilt gebruiken, kunt u dit veld leeg laten."
"Get Update","Get Update"
"Header Color","Header Color"
"Here you can define a Shop ID. This is only necessary if you wish to operate several shops with one Datatrans account. In order to use this module, an additional module is required.","Dit is alleen nodig als u verschillende winkels werken met een Datatrans account. Om deze module is een extra module vereist."
"Here you can insert a transaction prefix. The prefix allows you to change the transaction number that is transmitted to Datatrans. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Met dit prefix kunt u de transactie nummer dat wordt verzonden naar Datatrans te veranderen. Het prefix moet de tag {id} bevatten. De tag wordt dan vervangen door het ordernummer (bijv. name_ {id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead.","Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead."
"Here you can specify the text, which is shown to the customer on the Easypay website. If the text contains the tag {id}, it will be replaced with the order number.","Here you can specify the text, which is shown to the customer on the Easypay website. If the text contains the tag {id}, it will be replaced with the order number."
"Hide","Hide"
"IBAN","IBAN"
"IBAN number","IBAN-nummer"
"IFrame Height","IFrame Height"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Als er slechts een product op voorraad is en de betaling van de klant (de exacte koopt dit product) faalt, zolang het product wordt gereserveerd tot de bestelling wordt geannuleerd (zie Time-out optie). Schakel deze optie in als u NIET wilt dat het product zal worden gereserveerd. Bestellingen met een mislukte of afgebroken status van de betaling wordt meteen geannuleerd."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"If no liability shift is given for a transaction, should the transaction be marked as uncertain?","Als er geen liability shift wordt gegeven door een transactie, moet de transactie worden gemarkeerd als onzeker?"
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Iframe Theme Name","Iframe Theme Name"
"Image Brand Selection","Image Brand Selection"
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your live account.","In het geval dat u gebruik maakt van veiligheidsniveau 2, kunt u een teken aparte(sign2) activeren voor het verzoek van Datatrans naar uw server. In dit veld kunt u deze tweede teken plaatst voor uw Live-account."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account.","In het geval dat u gebruik maakt van veiligheidsniveau 2, kunt u een teken aparte(sign2) activeren voor het verzoek van Datatrans naar uw server. In dit veld kunt u deze tweede teken plaatst voor uw testaccount."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","In het geval dat u gebruik maakt van veiligheidsniveau 2, kunt u een teken aparte(sign2) activeren voor het verzoek van Datatrans naar uw server. In dit veld kunt u deze tweede teken plaatst voor uw testaccount. Deze instelling wordt alleen gebruikt voor e-mail en telefonische bestellingen (MoTo) en voor terugkerende betalingen."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) payments.","In het geval dat de beveiliging 2 gebruikt u kunt een aparte teken (sign2) activeren voor het verzoek gedaan door Datatrans naar uw server. In dit veld kunt u deze tweede teken voor uw testaccount. Deze instelling wordt alleen gebruikt voor e-mail en telefonische bestellingen (MoTo) betalingen."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for recurring payments.","In het geval dat de beveiliging 2 gebruikt u kunt een aparte teken (sign2) activeren voor het verzoek gedaan door Datatrans naar uw server. In dit veld kunt u deze tweede teken voor uw testaccount. Deze instelling wordt alleen gebruikt voor periodieke betalingen."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account.","In het geval dat u gebruik maakt van veiligheidsniveau 1 of 2, moet u een teken geven. Dit bord is te vinden in de backend van Datatrans van uw Live-account."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","In het geval dat u gebruik maakt van veiligheidsniveau 1 of 2, moet u een teken geven. Dit bord is te vinden in de backend van Datatrans van uw Live-account. Deze instelling wordt alleen gebruikt voor e-mail en telefonische bestellingen (MoTo) en voor terugkerende betalingen."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) payments.","Bij veiligheidsniveau 1 of 2 gebruiken je moet je een teken te geven. Dit teken kan worden gevonden in de backend van Datatrans van uw live-account. Deze instelling wordt alleen gebruikt voor e-mail en telefonische bestellingen (MoTo) betalingen."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for recurring payments.","Bij veiligheidsniveau 1 of 2 gebruiken je moet je een teken te geven. Dit teken kan worden gevonden in de backend van Datatrans van uw live-account. Deze instelling wordt alleen gebruikt voor periodieke betalingen."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account.","In het geval dat u gebruik maakt van veiligheidsniveau 1 of 2, moet u een teken geven. Dit bord is te vinden in de backend van Datatrans van uw testaccount."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","En caso de utilizar el nivel de seguridad 1 o 2, hay que dar una señal. Esta señal se puede encontrar en el backend de Datatrans de su cuenta de prueba. Deze instelling wordt alleen gebruikt voor e-mail en telefonische bestellingen (MoTo) en voor terugkerende betalingen."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) payments.","Bij veiligheidsniveau 1 of 2 gebruiken je moet je een teken te geven. Dit teken kan worden gevonden in de backend van Datatrans van uw testaccount. Deze instelling wordt alleen gebruikt voor e-mail en telefonische bestellingen (MoTo) betalingen."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for recurring payments.","Bij veiligheidsniveau 1 of 2 gebruiken je moet je een teken te geven. Dit teken kan worden gevonden in de backend van Datatrans van uw testaccount. Deze instelling wordt alleen gebruikt voor periodieke betalingen."
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Inactive","Inactief"
"Incl. Tax","Incl. belasting"
"Information","Information"
"Inline Theme Name","Inline Theme Name"
"Invalid login or password.","Invalid login or password."
"Invoice Items","Factuur items"
"Invoice On Delivery","Invoice On Delivery"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Factuurtotalen"
"Invoice settlement","Creatie van de rekening"
"Invoice was created successfully","Het rekening is gemaakt met goed gevolg"
"Invoices","Facturen"
"Issue Number","Albumreeks"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Learn More","Learn More"
"Level 0: No Signatures","Niveau 0: Geen Tekeningen"
"Level 1: Basic Signatures","Niveau 1: Basis Tekeningen"
"Level 2: Full Signatures (HMAC-MD5)","Niveau 2: Volledige Tekeningen (HMAC-MD5)"
"Level 2: Full Signatures (HMAC-SHA-256)","Level 2: Full Signatures (HMAC-SHA-256)"
"Liability Shift Behavior","Gedrag van de liability shift"
"Live Environment","Live-omgeving"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"Logo Border Color","Logo Border Color"
"Logo Source","Logo Source"
"Logo Style","Logo Style"
"Maestro International","Maestro International"
"Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Mail order/telephone order authorization","Postorder / telefonische bestellingen machtiging"
"Male","Mannelijk"
"Manage Stores","Beheer winkels"
"Manage Datatrans Aliases","Manage Datatrans Aliases"
"Mark transactions without liability shift as uncertain","Markeer transacties zonder liability shift als onveilig"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Order Confirmation"
"Maximum Order Total","Maximum Bestel Total"
"Message","Bericht"
"Method Title","Method Title"
"Minimum Order Total","Minimum Bestel Total"
"Mobile Device Detection","Detectie mobiel apparaat"
"Mobile Phone","Mobile Phone"
"Month","Maand"
"My Datatrans Aliases","My Datatrans Aliases"
"New Order","New Order"
"New Order Status","Niewe bestelstatus"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","Geen"
"No Items","No Items"
"No additional payment information available.","Geen extra betaling informatie beschikbaar"
"No address is sent","Heb adres niet verzenden"
"No authorization method found for payment method !method.","Geen vergunning methode gevonden voor de betalingswijze"
"No button returned.","Geen knop terug."
"No refund possible.","Geen terugbetaling mogelijk"
"No shipping method needed.","No shipping method needed."
"No, use the dropdown.","Nee, het dropdown."
"Non-U.S. issuing bank does not support AVS.","Niet-AV uitgevende bank niet ondersteunt AVS."
"Notification URL","Notification URL"
"ORG ID","ORG ID"
"ORG ID used for device fingerprint calls. Is supplied by Byjuno. If this is set but the solvency check is set to anything other than 'during the authorization' this will not be used.","ORG ID used for device fingerprint calls. Is supplied by Byjuno. If this is set but the solvency check is set to anything other than 'during the authorization' this will not be used."
"One Click Checkout (Alias Manager)","One Click Checkout (Alias Manager)"
"Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Only authorized transaction can be cancelled.","Alleen geautoriseerde transacties kan worden geannuleerd."
"Only authorized transaction can be captured.","Alleen geautoriseerde transacties kunnen worden geregistreerd"
"Only authorized transaction can be refunded.","Alleen geautoriseerde transacties kunnen worden bijgeschreven."
"Only captured transaction can be refunded.","Alleen opgenomen transacties kunnen worden bijgeschreven."
"Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Operation Mode","Werkingsmodus"
"Order #","Order #"
"Order Grand Total","Bestel Grand Total"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Summary","Order Summary"
"Order Total","Order Total"
"Order cancelled, because the customer was too long in the payment process of Datatrans.","De bestelling is geannuleerd omdat de klant was te lang gevestigd in het betalingsproces van Datatrans."
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellingen waarvan de betaling is in behandeling langer dan de gedefinieerde time-out in minuten automatisch geannuleerd. Om deze functie moet je setup Magento cron gebruiken."
"Paid Amount","Betaalde bedrag"
"Partial refund not possible. You may retry with the total transaction amount.","Gedeeltelijke terugbetaling is niet mogelijk. Het bedrag hoger is dan het totale bedrag."
"Password","Password"
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Pay Button Color","Pay Button Color"
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Payment","Payment"
"Payment Error Message: !message","Betaling Fout met Message: !message"
"Payment ID","Betaling ID"
"Payment Id","Betaling ID"
"Payment Information","Informatie over betaling"
"Payment Method","Betalingsmethode"
"Payment Method Code","Betaalmethode code"
"Payment Method Selection Style","Payment Method Selection Style"
"Payment captured successfully.","Betaling succes gevangen"
"Payment could not be authorized. Cancelling order. Reason : ","De betaling is niet geatoriseerde. De bestelling wordt geannuleerd. Reden:"
"Payment details can be entered after placing the order","Betaling informatie kan worden ingevoerd na het plaatsen van de bestelling"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Betaling van de toepasselijke landen"
"Payment from specific countries","Betaling van specifieke landen"
"Payment is pending at DatatransCw","Betaling in behandeling bij DatatransCw"
"Payment method description","Beschrijving van de betaalmethode"
"Payment with %s","Payment with %s"
"Payment with Datatrans","Betalen met Datatrans"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Betalingen kunnen automatisch worden bijgewerkt (in minuten) via API (indien ingeschakeld). Om de functie te gebruiken, moet de Magento Cron worden ingeschakeld."
"Pending","Pending"
"Pending DatatransCw","Pending DatatransCw"
"Phone","Phone"
"Phone number","Phone number"
"Phone number must be set.","Phone number must be set."
"Place Order","Place Order"
