"* Required Fields","* campo obbligatorio"
"Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead.","Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead."
"Here you can specify the text, which is shown to the customer on the Easypay website. If the text contains the tag {id}, it will be replaced with the order number.","Puoi inserire il testo che sarà mostrato al cliente sul sito di Easypay. Se il testo contiene il tag {id}, sarà sostituito con il numero dell'ordine."
"Hide","Nascondi"
"IBAN","IBAN"
"IBAN number","Numero IBAN"
"IFrame Height","Altezza dell'iFrame"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se é rimasto un solo pezzo in magazzino e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato fino a quando l'ordine é cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON sia riservato e che l'ordine con un pagamento non riuscito sia immediatamente annullato."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Se un prodotto è disponibile solo una volta e il pagamento dell'ordine cliente il prodotto non riesce o viene interrotta, non sarà disponibile fino a quando l'ordine viene annullato (guarda l'opzione di timeout di seguito). Attiva questa impostazione per annullare gli ordini in attesa del cliente quando torna alla pagina del carrello e di un prodotto non è più disponibile. Attenzione, però: se si attiva questa opzione, c'è una possibilità che i pagamenti vengano effettuati con l'ordine corrispondente che é già stato annullato."
"If it is not applicable leave the field empty.","Se non é possibile lasciare il campo vuoto."
"If no liability shift is given for a transaction, should the transaction be marked as uncertain?","Se il pagamento viene effettuato senza liability shift, la transazione deve essere indicata come non sicura?"
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato é 'in sospeso' non é chiaro se la transazione verrà annullata correttamente."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà registrata con successo."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà rimborsata con successo."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Iframe Theme Name","Nome del tema iFrame"
"Image Brand Selection","Image Brand Selection"
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your live account.","Se si utilizza il livello di sicurezza 2, é possibile attivare un segno separato (sign2) per la richiesta proveniente da Datatrans al server. È possibile inserire un secondo sign per il tuo account live in questo campo."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account.","Se si utilizza il livello di sicurezza 2, é possibile attivare un segno separato (sign2) per la richiesta di Datatrans al server. È possibile inserire un secondo sign per il tuo account test in questo campo."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Se si utilizza il livello di sicurezza 2, é possibile attivare un segno separato (sign2) per la richiesta di Datatrans al server. È possibile inserire un secondo sign per il tuo account test in questo campo. Questa opzione viene utilizzata solo per ordini via posta e telefono (MoTo) e per i pagamenti ricorrenti."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) payments.","Nel caso si utilizzi sicurezza 2 é possibile attivare un segno separato (sign2) per la richiesta fatta da Datatrans al server. In questo campo é possibile fornire questo secondo segno per l' account di prova. Questa impostazione viene utilizzata solo per posta e telefono ordini (MoTo) pagamenti."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for recurring payments.","Nel caso si utilizzi sicurezza 2 é possibile attivare un segno separato (sign2) per la richiesta fatta da Datatrans al server. In questo campo é possibile fornire questo secondo segno per l' account di prova. Questa impostazione viene utilizzata solo per i pagamenti ricorrenti."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account.","Se si utilizza il livello di sicurezza 1 o 2, é necessario fornire un segno che può essere trovato nel backend dell'account live di Datatrans ."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Nel caso in cui si utilizza il livello di sicurezza 1 o 2 é necessario fornire un segno. Questo segno può essere trovato nel backend di Datatrans del tuo account live. Questa impostazione viene utilizzata solo per posta e telefono ordini (MoTo) pagamenti."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) payments.","Nel caso in cui si utilizza il livello di sicurezza 1 o 2 é necessario fornire un segno. Questo segno può essere trovato nel backend di Datatrans del tuo account live. Questa impostazione viene utilizzata solo per posta e telefono ordini (MoTo) pagamenti."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for recurring payments.","Nel caso in cui si utilizza il livello di sicurezza 1 o 2 é necessario fornire un segno. Questo segno può essere trovato nel backend di Datatrans del tuo account live. Questa impostazione viene utilizzata solo per i pagamenti ricorrenti."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account.","Se si utilizza il livello di sicurezza 1 o 2, é necessario inserire un segno che può essere trovato nel backend dell'account test di Datatrans ."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Nel caso in cui si utilizza il livello di sicurezza 1 o 2 é necessario fornire un segno. Questo segno può essere trovato nel backend di Datatrans del tuo account live. Questa impostazione viene utilizzata solo per posta e telefono ordini (MoTo) pagamenti."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) payments.","Nel caso in cui si utilizza il livello di sicurezza 1 o 2 é necessario fornire un segno. Questo segno può essere trovato nel backend di Datatrans del tuo account live. Questa impostazione viene utilizzata solo per posta e telefono ordini (MoTo) pagamenti."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for recurring payments.","Nel caso in cui si utilizza il livello di sicurezza 1 o 2 é necessario fornire un segno. Questo segno può essere trovato nel backend di Datatrans del vostro account di prova. Questa impostazione viene utilizzata solo per i pagamenti ricorrenti."
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"Inactive","Inattivo"
"Incl. Tax","Incl. tasse"
"Information","Informazione"
"Inline Theme Name","Nome del tema Inline"
"Invalid login or password.","Login o password non validi."
"Invoice Items","Articoli fattura"
"Invoice On Delivery","Invoice On Delivery"
"Invoice Settlement","Pagamento della fattura"
"Invoice Totals","Totali della fattura"
"Invoice settlement","Creazione della fattura"
"Invoice was created successfully","La fattura é stato creata con successo."
"Invoices","Fatture"
"Issue Number","Numero Issue"
"It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Item","Articolo"
"Items","Articoli"
"Items Refunded","Articoli rimborsati"
"JCB","JCB"
"Learn More","Per saperne di più"
"Level 0: No Signatures","Level 0: Nessuna Firma"
"Level 1: Basic Signatures","Level 1: Firme di base"
"Level 2: Full Signatures (HMAC-MD5)","Level 2: Firme complete (HMAC-MD5)"
"Level 2: Full Signatures (HMAC-SHA-256)","Level 2: Full Signatures (HMAC-SHA-256)"
"Liability Shift Behavior","Comportamento della liability shift"
"Live Environment","Modalità Live"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrati"
"Login and password are required.","Login e password richiesti."
"Logo Border Color","Colore del bordo del logo"
"Logo Source","URL del logo"
"Logo Style","Stile del logo"
"Maestro International","Maestro International"
"Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Male","Maschio"
"Manage Stores","Gestire negozi"
"Manage Datatrans Aliases","Gestisci gli alias Datatrans"
"Mark transactions without liability shift as uncertain","Evidenziare le transazioni senza liability shift come non sicuri"
"MasterCard","Mastercard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: conferma dell'ordine"
"Maximum Order Total","Totale massimo dell'ordine"
"Message","Notifica"
"Method Title","Titolo del metodo"
"Minimum Order Total","Minimo per il totale dell'ordine"
"Mobile Device Detection","Rilevamento di dispositivi mobili"
"Mobile Phone","Numero di cellulare"
"Month","Mese"
"My Datatrans Aliases","I miei Alias Datatrans"
"New Order","Nuovo ordine"
"New Order Status","Nuovo stato dell'ordine"
"New card","Nuova carta"
"Next Update Execution Date","Data del prossimo aggiornamento"
"No","No"
"No Items","Nessun articolo"
"No additional payment information available.","Nessuna informazione di pagamento supplementare."
"No address is sent","Indirizzo non inviato"
"No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"No button returned.","Nessun tasto fornito."
"No refund possible.","Nessun rimborso possibile"
"No shipping method needed.","Nessun metodo di spedizione necessario."
"No, use the dropdown.","No, utilizzare il menu a tendina."
"Non-U.S. issuing bank does not support AVS.","Non-US banca emittente non sostiene AVS."
"Notification URL","URL di notifica"
"ORG ID","ORG ID"
"ORG ID used for device fingerprint calls. Is supplied by Byjuno. If this is set but the solvency check is set to anything other than 'during the authorization' this will not be used.","ORG ID é usato per le impronte digitali del dispositivo ed é fornito da Byjuno. Se questo é selezionato ma non é impostato il solvency check su 'durante l'autorizzazione' non sarà utilizzato."
"One Click Checkout (Alias Manager)","Check out con un click (Alias Manager)"
"Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Operation Mode","Modalità di funzionamento"
"Order #","Numero d'ordine"
"Order Grand Total","Totale complessivo dell'ordine"
"Order Information","Informazioni sull'ordine"
"Order Prefix","Order Prefix"
"Order Review","Controllo ordine"
"Order Summary","Riassunto dell'ordine"
"Order Total","Totale dell'ordine"
"Order cancelled, because the customer was too long in the payment process of Datatrans.","L'ordine é stato annullato perché il cliente é rimasto troppo a lungo nel processo di pagamento di Datatrans."
"Order was placed using %s","L'ordine é stato effettuato usando %s"
"Orders","Ordini"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Gli ordini il cui pagamento é in sospeso da più tempo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron."
"Paid Amount","Importo pagato"
"Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non possibile. Riprovare con l'importo totale della transazione."
"Password","Password"
"Password and password confirmation are not equal.","La password e la conferma della password non corrispondono."
"Pay Button Color","Colore del pulsante 'Pago'"
